,ts_code,exchange,name,per_unit,opt_type,call_put,exercise_type,exercise_price,maturity_date,list_date,delist_date
1184,10001585.SH,SSE,华夏上证50ETF期权1903认购2.55,10000.0,ETF期权,C,欧式,2.55,20190327,20181203,20190327
1185,10001586.SH,SSE,华夏上证50ETF期权1903认购2.60,10000.0,ETF期权,C,欧式,2.6,20190327,20181203,20190327
1186,10001587.SH,SSE,华夏上证50ETF期权1903认购2.65,10000.0,ETF期权,C,欧式,2.65,20190327,20181203,20190327
1187,10001588.SH,SSE,华夏上证50ETF期权1903认沽2.25,10000.0,ETF期权,P,欧式,2.25,20190327,20181203,20190327
1188,10001589.SH,SSE,华夏上证50ETF期权1903认沽2.30,10000.0,ETF期权,P,欧式,2.3,20190327,20181203,20190327
1189,10001590.SH,SSE,华夏上证50ETF期权1903认沽2.35,10000.0,ETF期权,P,欧式,2.35,20190327,20181203,20190327
1190,10001591.SH,SSE,华夏上证50ETF期权1903认沽2.40,10000.0,ETF期权,P,欧式,2.4,20190327,20181203,20190327
1191,10001592.SH,SSE,华夏上证50ETF期权1903认沽2.45,10000.0,ETF期权,P,欧式,2.45,20190327,20181203,20190327
1192,10001593.SH,SSE,华夏上证50ETF期权1903认沽2.50,10000.0,ETF期权,P,欧式,2.5,20190327,20181203,20190327
1193,10001594.SH,SSE,华夏上证50ETF期权1903认沽2.55,10000.0,ETF期权,P,欧式,2.55,20190327,20181203,20190327
1194,10001595.SH,SSE,华夏上证50ETF期权1903认沽2.60,10000.0,ETF期权,P,欧式,2.6,20190327,20181203,20190327
1195,10001596.SH,SSE,华夏上证50ETF期权1903认沽2.65,10000.0,ETF期权,P,欧式,2.65,20190327,20181203,20190327
1196,10001597.SH,SSE,华夏上证50ETF期权1906认购2.25,10000.0,ETF期权,C,欧式,2.25,20190626,20181203,20190626
1197,10001598.SH,SSE,华夏上证50ETF期权1906认购2.30,10000.0,ETF期权,C,欧式,2.3,20190626,20181203,20190626
1198,10001599.SH,SSE,华夏上证50ETF期权1906认购2.35,10000.0,ETF期权,C,欧式,2.35,20190626,20181203,20190626
