,high,pre_settle,oi,wind_code,volume,amount,settle,low,trade_date,close,open,change,bopu_symbol,local_symbol,pre_close
2015/7/24,2719.0,2700.8,9579.0,IH1509.CFE,21794.0,17410439280.0,2632.8,2609.2,20150724,2632.4,2718.8,-68.4,IH1509|FU|CFFEX,IH1509,2709.6
2015/7/27,2628.0,2632.8,9831.0,IH1509.CFE,21883.0,16488375420.0,2429.6,2371.2,20150727,2399.0,2628.0,-233.8,IH1509|FU|CFFEX,IH1509,2632.4
2015/7/28,2455.0,2429.6,10043.0,IH1509.CFE,28564.0,20554502880.0,2411.4,2330.0,20150728,2390.0,2330.0,-39.6,IH1509|FU|CFFEX,IH1509,2399.0
2015/7/29,2450.0,2411.4,9836.0,IH1509.CFE,19864.0,14361057720.0,2429.2,2372.0,20150729,2445.2,2411.6,33.8,IH1509|FU|CFFEX,IH1509,2390.0
2015/7/30,2450.2,2429.2,9901.0,IH1509.CFE,20076.0,14512338960.0,2371.8,2325.4,20150730,2372.6,2450.0,-56.6,IH1509|FU|CFFEX,IH1509,2445.2
2015/7/31,2418.8,2371.8,9836.0,IH1509.CFE,18911.0,13405482420.0,2355.8,2327.4,20150731,2369.0,2368.0,-2.8,IH1509|FU|CFFEX,IH1509,2372.6
2015/8/3,2362.8,2355.8,9753.0,IH1509.CFE,11496.0,8027630400.0,2335.0,2302.0,20150803,2337.6,2361.8,-18.2,IH1509|FU|CFFEX,IH1509,2369.0
2015/8/4,2445.8,2335.0,9687.0,IH1509.CFE,13871.0,9976048740.0,2429.8,2330.2,20150804,2422.0,2339.0,87.0,IH1509|FU|CFFEX,IH1509,2337.6
2015/8/5,2429.8,2429.8,9667.0,IH1509.CFE,11402.0,8229460320.0,2402.8,2376.8,20150805,2397.4,2424.0,-32.4,IH1509|FU|CFFEX,IH1509,2422.0
2015/8/6,2436.0,2402.8,9614.0,IH1509.CFE,13137.0,9452997240.0,2395.2,2352.8,20150806,2393.6,2384.8,-9.2,IH1509|FU|CFFEX,IH1509,2397.4
2015/8/7,2483.2,2395.2,9536.0,IH1509.CFE,19650.0,14441132640.0,2440.8,2386.2,20150807,2437.6,2390.0,42.4,IH1509|FU|CFFEX,IH1509,2393.6
2015/8/10,2573.8,2440.8,10075.0,IH1509.CFE,19291.0,14543751420.0,2560.2,2430.0,20150810,2546.0,2430.0,105.2,IH1509|FU|CFFEX,IH1509,2437.6
2015/8/11,2563.6,2560.2,10536.0,IH1509.CFE,18259.0,13949089020.0,2542.2,2521.0,20150811,2534.0,2558.8,-26.2,IH1509|FU|CFFEX,IH1509,2546.0
2015/8/12,2559.6,2542.2,10812.0,IH1509.CFE,19392.0,14734504860.0,2526.4,2506.0,20150812,2520.8,2526.8,-21.4,IH1509|FU|CFFEX,IH1509,2534.0
2015/8/13,2554.0,2526.4,11035.0,IH1509.CFE,19337.0,14600234400.0,2514.6,2484.2,20150813,2524.0,2524.2,-2.4,IH1509|FU|CFFEX,IH1509,2520.8
2015/8/14,2546.0,2514.6,11202.0,IH1509.CFE,18225.0,13794994800.0,2507.2,2490.2,20150814,2506.4,2533.0,-8.2,IH1509|FU|CFFEX,IH1509,2524.0
2015/8/17,2510.0,2507.2,12908.0,IH1509.CFE,28723.0,21137736600.0,2448.2,2427.4,20150817,2459.2,2510.0,-48.0,IH1509|FU|CFFEX,IH1509,2506.4
2015/8/18,2485.6,2448.2,13356.0,IH1509.CFE,52318.0,37731955200.0,2329.8,2251.2,20150818,2336.0,2460.4,-112.2,IH1509|FU|CFFEX,IH1509,2459.2
2015/8/19,2374.8,2329.8,15842.0,IH1509.CFE,87253.0,60715578480.0,2340.2,2260.4,20150819,2340.6,2330.0,10.8,IH1509|FU|CFFEX,IH1509,2336.0
2015/8/20,2339.8,2340.2,19650.0,IH1509.CFE,196449.0,135397000000.0,2280.4,2261.4,20150820,2283.0,2339.8,-57.2,IH1509|FU|CFFEX,IH1509,2340.6
2015/8/21,2297.0,2280.4,21592.0,IH1509.CFE,296846.0,200126000000.0,2227.8,2190.0,20150821,2224.4,2263.4,-56.0,IH1509|FU|CFFEX,IH1509,2283.0
2015/8/24,2194.6,2227.8,22564.0,IH1509.CFE,229796.0,141798000000.0,2010.8,2005.2,20150824,2005.2,2194.6,-222.6,IH1509|FU|CFFEX,IH1509,2224.4
2015/8/25,2002.2,2010.8,28539.0,IH1509.CFE,403171.0,232795000000.0,1819.6,1809.8,20150825,1809.8,1960.4,-201.0,IH1509|FU|CFFEX,IH1509,2005.2
